participant_id,role,department,comfort_with_ai,main_interest_category,main_interest_detail,concern_category,concern_detail,free_text_feedback
837645,Faculty,Public Health,Comfortable,Grant Writing,Improving clarity and turnaround on competitive Public Health grant applications,Hallucinations and Accuracy,Hard to verify AI output accuracy for technical Public Health questions,"I already use AI fairly regularly, I'd especially value help with grant writing — that said, the accuracy and hallucination problem concerns me. Examples relevant to my day-to-day would make it stick."
475133,Undergraduate Student,Education,Neutral,Student Learning Support,Helping Education students use AI tutors without undermining their own learning,Academic Misconduct,Students using AI to complete Education assignments without learning anything,"I have mixed feelings about AI, I really want to use AI to better support student learning, though I'm concerned about academic misconduct. Please include practical takeaways I can use right away."
601099,Faculty,Biology,Uncomfortable,Teaching and Course Design,Designing AI-aware assignments and rubrics for my Biology courses,Copyright and Intellectual Property,Unclear copyright and ownership rules for AI outputs in Biology,"I've only dabbled with AI and feel uncertain, I'm most interested in applying AI to teaching and course design, and at the same time copyright and IP questions worry me. I'd appreciate clear guidance tailored to Biology work."
269917,Research Scientist,Computer Science,Comfortable,Data Analysis,"Cleaning, exploring, and visualizing Computer Science datasets more quickly",Data Privacy,Unclear where AI vendors store and reuse our Computer Science data,"I already use AI fairly regularly, I'm keen to use AI for data analysis but data privacy is my biggest concern. Concrete do's and don'ts would make this more useful."
698457,Administrative Staff,Medicine,Neutral,Research Productivity,Cutting time spent on repetitive analysis steps in my Medicine projects,Data Privacy,Protecting confidential participant and student data from AI services,"I have mixed feelings about AI, I'd love practical ways to make my research more productive but data privacy is my biggest concern."
556706,Undergraduate Student,Medicine,Comfortable,Programming Assistance,Getting help writing and debugging code for my Medicine work,No Major Concerns,Generally optimistic about AI's role in supporting Medicine tasks,"I'm reasonably comfortable using AI day to day, I'm hoping to get better at using AI for coding, though I don't have major concerns at this point. A hands-on session with real Medicine examples would help a lot."
467320,Administrative Staff,Information Technology,Uncomfortable,Research Compliance,Ensuring data handling and AI use meet Information Technology regulatory standards,No Major Concerns,Generally optimistic about AI's role in supporting Information Technology tasks,"I've only dabbled with AI and feel uncertain, I need AI guidance that respects research compliance, and at the same time I don't have major concerns at this point. Concrete do's and don'ts would make this more useful."
255499,Undergraduate Student,Public Health,Comfortable,Career Development,Building AI skills that strengthen my Public Health career prospects,Student Overreliance on AI,Worried Public Health students stop thinking critically when AI does the work,"I'm reasonably comfortable using AI day to day, I see AI skills as important for my career, and at the same time I worry students will lean on AI too heavily. Please include practical takeaways I can use right away."
660112,Research Scientist,Research Computing,Comfortable,Research Productivity,Cutting time spent on repetitive analysis steps in my Research Computing projects,Student Overreliance on AI,Overreliance eroding foundational competencies among Research Computing students,"I'm reasonably comfortable using AI day to day, I'd love practical ways to make my research more productive — that said, I worry students will lean on AI too heavily. I hope the workshop balances enthusiasm with caution."
158089,Graduate Student,Biology,Very Comfortable,Programming Assistance,Getting help writing and debugging code for my Biology work,Research Integrity,Worried AI-generated text could undermine integrity of Biology research outputs,"I'm an enthusiastic adopter of AI tools, I'm hoping to get better at using AI for coding, though my main worry is protecting research integrity. Time for questions specific to Biology would be valuable."
